,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
2397,Texas,Cass County,30118,4.3,76.4,17.0,0.0,0.4,0.0,22145,18.5,22.9,19.3,24.6,14.0,19.2,89.5,4.3,0.2,0.6,3.4,2.0,24.0,74.0,16.7,9.3,0.0,7.3,110586.25247020273
2399,Texas,Chambers County,39283,21.4,68.0,8.0,0.1,1.3,0.0,31412,12.9,36.1,9.5,19.7,15.8,18.9,88.9,6.6,0.2,0.9,1.3,2.1,27.8,75.6,16.4,7.7,0.3,6.5,240199.39423738347
2400,Texas,Cherokee County,51594,22.5,61.3,13.6,0.5,0.6,0.0,21102,18.7,28.9,19.8,21.2,14.6,15.6,80.1,14.3,0.0,2.0,0.8,2.7,24.4,73.1,20.0,6.8,0.2,6.1,124541.13950055085
2402,Texas,Clay County,10369,5.7,90.4,0.5,1.2,0.3,0.0,27593,15.0,30.6,16.5,24.4,14.7,13.9,84.5,7.5,0.0,2.5,1.0,4.5,23.9,74.4,14.5,10.9,0.3,7.2,116929.94958908464
2403,Texas,Coke County,3238,21.1,76.9,0.6,0.6,0.2,0.0,24623,16.6,41.3,14.2,15.0,17.6,11.8,84.3,5.5,0.0,5.1,0.7,4.3,23.0,58.1,31.7,10.3,0.0,4.3,104620.9147246444
2404,Texas,Coleman County,8422,17.4,77.3,2.7,0.8,0.8,0.0,26436,20.3,33.0,11.9,19.3,18.4,17.5,87.8,7.2,0.1,0.8,1.6,2.5,24.5,72.6,15.6,11.8,0.1,5.1,89789.56774837633
2406,Texas,Collingsworth County,3026,31.3,60.3,3.5,4.3,0.1,0.0,21356,15.0,20.9,22.4,19.0,21.4,16.2,86.3,8.8,0.0,4.1,0.0,0.8,15.4,65.2,26.2,8.7,0.0,7.1,82823.02594272651
2407,Texas,Colorado County,20913,28.9,57.0,13.0,0.1,0.1,0.0,26689,12.0,29.4,17.9,23.5,14.2,15.0,85.8,8.0,1.1,1.0,0.6,3.5,20.5,73.3,17.6,8.8,0.2,2.9,165317.61935857544
2408,Texas,Comal County,129100,26.8,68.7,2.0,0.1,1.0,0.0,35841,9.2,39.0,14.7,27.3,10.0,9.0,80.7,8.5,0.2,1.6,1.4,7.6,30.6,78.7,12.8,8.0,0.4,3.8,283789.6852266932
2409,Texas,Comanche County,13492,27.3,70.4,0.7,0.5,0.6,0.0,22751,18.2,29.6,14.4,21.7,17.3,16.9,80.6,11.3,0.0,2.7,1.7,3.8,25.2,75.4,14.3,10.0,0.3,3.6,114303.61190215232
2411,Texas,Cooke County,39064,17.3,76.4,2.5,0.7,0.9,0.2,29067,13.9,29.2,20.4,21.6,11.0,17.8,76.8,15.7,0.1,1.6,1.2,4.6,25.5,77.5,14.9,7.3,0.2,5.2,169543.3819656182
2412,Texas,Coryell County,75818,17.8,59.5,13.7,0.6,1.8,0.7,21171,13.3,29.8,23.8,25.1,12.6,8.8,72.8,12.8,0.4,7.3,2.2,4.5,22.0,62.0,31.8,6.1,0.1,9.9,121462.53248067152
2418,Texas,Delta County,5172,6.9,81.5,7.9,0.2,0.7,0.0,22732,22.9,31.0,16.5,22.1,13.9,16.5,86.9,7.1,0.6,2.4,1.6,1.5,31.5,72.6,19.6,7.8,0.0,6.4,99510.59715784942
2419,Texas,Denton County,781321,19.1,60.9,9.1,0.3,7.8,0.1,37928,8.4,46.0,13.9,25.6,6.3,8.2,80.9,8.5,0.9,1.3,1.3,7.1,28.9,82.7,11.6,5.5,0.2,4.5,285814.347148022
2421,Texas,Eastland County,18278,16.0,79.9,2.2,0.4,0.2,0.0,20433,17.4,28.7,17.4,23.5,13.5,16.8,87.2,8.5,0.0,2.6,1.1,0.7,18.6,76.6,15.8,6.6,0.9,5.7,93089.87206034198
2423,Texas,Ellis County,164092,25.5,62.6,8.9,0.3,0.7,0.0,28612,10.5,33.2,13.5,25.8,11.8,15.7,82.0,11.1,0.4,0.9,0.6,5.0,29.3,79.5,13.1,7.2,0.2,4.6,217347.29201238006
2425,Texas,Erath County,41016,20.6,75.4,1.6,0.5,0.8,0.0,23511,22.6,32.1,21.6,19.5,12.1,14.8,81.8,10.2,0.3,2.5,0.7,4.5,19.9,77.0,14.0,8.3,0.6,4.3,168280.03643547738
2426,Texas,Falls County,17289,22.8,51.5,24.3,0.2,0.2,0.1,17755,25.2,23.0,19.1,20.3,14.5,23.1,78.0,11.1,1.1,3.7,2.9,3.2,26.7,77.4,15.5,6.9,0.1,6.1,95002.82508697116
2427,Texas,Fannin County,33787,10.6,79.4,6.5,0.4,0.7,0.1,23212,14.8,31.7,16.4,22.6,12.9,16.5,81.7,9.9,0.0,1.7,1.2,5.5,29.7,72.5,19.9,7.3,0.3,5.2,140687.70815027767
2428,Texas,Fayette County,24963,20.4,71.9,6.0,0.1,0.7,0.0,30405,9.1,22.3,18.7,26.2,16.2,16.6,85.3,8.4,0.2,1.9,1.0,3.1,22.8,75.9,13.5,10.2,0.4,1.5,273879.8555665942
2429,Texas,Fisher County,3875,29.8,66.5,2.9,0.0,0.5,0.1,27750,17.4,32.8,16.6,19.8,17.2,13.6,81.3,11.0,0.0,3.3,0.9,3.5,21.3,68.3,18.2,13.1,0.4,5.6,90317.8335493267
2432,Texas,Franklin County,10639,13.9,79.6,4.5,0.5,0.0,0.1,23642,15.0,24.3,14.6,26.8,16.9,17.4,82.5,8.9,0.4,1.5,1.2,5.5,23.9,74.0,11.1,14.1,0.8,7.6,175367.01196557467
2433,Texas,Freestone County,19646,14.7,67.5,16.1,0.2,0.4,0.0,24060,17.3,26.4,24.9,19.3,14.1,15.3,82.9,12.0,0.1,1.6,0.7,2.7,25.7,73.3,19.6,7.1,0.0,4.2,133245.39545491393
2436,Texas,Galveston County,321184,23.9,58.0,12.5,0.3,3.3,0.0,33870,13.9,41.1,17.6,22.0,9.4,9.9,80.9,10.5,0.9,2.0,1.9,3.7,28.0,77.0,16.7,6.1,0.1,6.5,206715.91056762962
2438,Texas,Gillespie County,25939,22.5,75.6,0.1,0.0,0.1,0.0,32557,12.4,33.6,21.1,21.7,14.3,9.3,72.5,14.0,0.5,4.4,2.3,6.2,20.7,73.4,8.9,17.2,0.5,5.0,299327.3545226561
2439,Texas,Goliad County,7510,35.6,58.6,5.3,0.0,0.2,0.0,30075,16.4,29.4,11.9,24.7,16.7,17.2,76.0,13.4,0.0,5.2,0.0,5.4,29.9,71.7,20.7,7.6,0.0,6.4,190843.78814070672
2441,Texas,Gray County,22962,27.9,64.5,4.3,0.9,0.7,0.1,23457,14.9,23.1,17.8,24.6,18.3,16.1,85.7,10.3,0.0,1.5,1.8,0.8,19.0,81.2,12.1,6.6,0.1,4.9,76787.29998478272
2442,Texas,Grayson County,126146,12.7,76.4,5.5,1.3,1.3,0.0,26535,14.3,31.1,18.7,24.6,10.8,14.7,78.0,12.6,0.4,1.8,1.3,5.9,24.9,79.8,12.5,7.4,0.2,6.5,156701.31467666043
2443,Texas,Gregg County,123402,18.2,58.3,20.1,0.3,1.4,0.1,25144,17.6,27.8,18.7,25.1,12.0,16.5,85.3,8.4,0.2,2.0,1.3,2.8,20.4,84.3,10.1,5.5,0.1,4.8,137648.100218736
2444,Texas,Grimes County,27358,23.6,58.7,15.6,0.3,0.1,0.0,23585,18.6,23.3,17.9,22.4,14.9,21.4,77.5,16.3,0.0,1.4,0.9,3.9,27.1,76.7,15.4,7.7,0.3,5.5,193494.4587943774
2445,Texas,Guadalupe County,150889,37.3,51.4,7.1,0.2,1.7,0.0,29300,10.6,33.4,15.9,25.5,10.3,14.9,85.0,8.9,0.2,0.7,1.1,4.1,26.7,76.3,17.8,5.6,0.3,4.5,221647.342194644
